Image Path,Pattern
C:\xampp\htdocs\URasethetic\images\Women\sweetheart dress.png,sweetheart dress
C:\xampp\htdocs\URasethetic\images\Women\sweetheart neckline .png,sweetheart neckline 
C:\xampp\htdocs\URasethetic\images\Women\sweetheart neckline top.png,sweetheart neckline top
C:\xampp\htdocs\URasethetic\images\Women\t shirt dress.png,t shirt dress
C:\xampp\htdocs\URasethetic\images\Women\tank top.png,tank top
C:\xampp\htdocs\URasethetic\images\Women\tapered jeans pants.png,tapered jeans pants
C:\xampp\htdocs\URasethetic\images\Women\tent dress.png,tent dress
C:\xampp\htdocs\URasethetic\images\Women\tie bow neckline .png,tie bow neckline 
C:\xampp\htdocs\URasethetic\images\Women\tie front top.png,tie front top
C:\xampp\htdocs\URasethetic\images\Women\tie neck neckline .png,tie neck neckline 
C:\xampp\htdocs\URasethetic\images\Women\tie shoulder cami top.png,tie shoulder cami top
C:\xampp\htdocs\URasethetic\images\Women\tie up bralette top.png,tie up bralette top
C:\xampp\htdocs\URasethetic\images\Women\tieing top.png,tieing top
C:\xampp\htdocs\URasethetic\images\Women\tiered dress.png,tiered dress
C:\xampp\htdocs\URasethetic\images\Women\tiered skirt.png,tiered skirt
C:\xampp\htdocs\URasethetic\images\Women\trapeze neckline .png,trapeze neckline 
C:\xampp\htdocs\URasethetic\images\Women\trapeze top.png,trapeze top
C:\xampp\htdocs\URasethetic\images\Women\trapezoid dress.png,trapezoid dress
C:\xampp\htdocs\URasethetic\images\Women\trouser pants.png,trouser pants
C:\xampp\htdocs\URasethetic\images\Women\trumpet skirt.png,trumpet skirt
C:\xampp\htdocs\URasethetic\images\Women\tube skirt .png,tube skirt 
C:\xampp\htdocs\URasethetic\images\Women\tube top.png,tube top
C:\xampp\htdocs\URasethetic\images\Women\tulip dress .png,tulip dress 
C:\xampp\htdocs\URasethetic\images\Women\tulip skirt.png,tulip skirt
C:\xampp\htdocs\URasethetic\images\Women\tulip sleeve.png,tulip sleeve
C:\xampp\htdocs\URasethetic\images\Women\tulle skirt .png,tulle skirt 
C:\xampp\htdocs\URasethetic\images\Women\tunic dress .png,tunic dress 
C:\xampp\htdocs\URasethetic\images\Women\tunic kurta top.png,tunic kurta top
C:\xampp\htdocs\URasethetic\images\Women\tunic shirt dress.png,tunic shirt dress
C:\xampp\htdocs\URasethetic\images\Women\tunic style kurta .png,tunic style kurta 
C:\xampp\htdocs\URasethetic\images\Women\tunic top .png,tunic top 
C:\xampp\htdocs\URasethetic\images\Women\turtle neck neckline .png,turtle neck neckline 
C:\xampp\htdocs\URasethetic\images\Women\turtle neck top .png,turtle neck top 
C:\xampp\htdocs\URasethetic\images\Women\twisted top.png,twisted top
C:\xampp\htdocs\URasethetic\images\Women\two colour jumpsuit .png,two colour jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\two piece dress.png,two piece dress
C:\xampp\htdocs\URasethetic\images\Women\u neckline .png,u neckline 
C:\xampp\htdocs\URasethetic\images\Women\u neckline top.png,u neckline top
C:\xampp\htdocs\URasethetic\images\Women\underbust corset top .png,underbust corset top 
C:\xampp\htdocs\URasethetic\images\Women\utility jumpsuit .png,utility jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\v line dress.png,v line dress
C:\xampp\htdocs\URasethetic\images\Women\v neck lose fitted top.png,v neck lose fitted top
C:\xampp\htdocs\URasethetic\images\Women\v neck top.png,v neck top
C:\xampp\htdocs\URasethetic\images\Women\v neckline.png,v neckline
C:\xampp\htdocs\URasethetic\images\Women\Veronica blouse top.png,Veronica blouse top
C:\xampp\htdocs\URasethetic\images\Women\vertical stripes top.png,vertical stripes top
C:\xampp\htdocs\URasethetic\images\Women\vest top.png,vest top
C:\xampp\htdocs\URasethetic\images\Women\virago sleeve .png,virago sleeve 
C:\xampp\htdocs\URasethetic\images\Women\waist tie ups top.png,waist tie ups top
C:\xampp\htdocs\URasethetic\images\Women\wide leg jumpsuit .png,wide leg jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\wide square neck top.png,wide square neck top
C:\xampp\htdocs\URasethetic\images\Women\wide straps sleeve .png,wide straps sleeve 
C:\xampp\htdocs\URasethetic\images\Women\wideleg jeans pants.png,wideleg jeans pants
C:\xampp\htdocs\URasethetic\images\Women\window pane pattern shirt - top.png,window pane pattern shirt - top
C:\xampp\htdocs\URasethetic\images\Women\wrap bust top.png,wrap bust top
C:\xampp\htdocs\URasethetic\images\Women\wrap dress.png,wrap dress
C:\xampp\htdocs\URasethetic\images\Women\wrap jumpsuit .png,wrap jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\wrap skirt .png,wrap skirt 
C:\xampp\htdocs\URasethetic\images\Women\wrap top.png,wrap top
C:\xampp\htdocs\URasethetic\images\Women\x line dress .png,x line dress 
C:\xampp\htdocs\URasethetic\images\Women\y neckline .png,y neckline 
C:\xampp\htdocs\URasethetic\images\Women\y neckline top.png,y neckline top
C:\xampp\htdocs\URasethetic\images\Women\yoke dress .png,yoke dress 
C:\xampp\htdocs\URasethetic\images\Women\yoke neckline .png,yoke neckline 
C:\xampp\htdocs\URasethetic\images\Women\yoke top .png,yoke top 
C:\xampp\htdocs\URasethetic\images\Women\yoke waist skirt .png,yoke waist skirt 
C:\xampp\htdocs\URasethetic\images\Women\zig zag neckline.png,zig zag neckline
